Rank,City,Country,Gross metropolitan product (in billions EUR)[2][3],Year
125,Riga metropolitan area,Latvia,20.9,2020
126,Métropole du Grand Nancy,France,20.8,2021
127,Mainz metropolitan area,Germany,20.6,2020
128,Gdansk metropolitan area,Poland,20.5,2020
129,Salzburg metropolitan area,Austria,20.4,2020
130,Ljubljana metropolitan area,Slovenia,20.2,2021
131,Osnabrück metropolitan area,Germany,20.1,2020
132,Vigo metropolitan area,Spain,20.1,2020
133,Tours Métropole Val de Loire,France,20.1,2021
134,Cádiz metropolitan area,Spain,20.1,2020
135,Grand Reims,France,20.0,2021
136,Tallinn metropolitan area,Estonia,19.9,2021
137,Dijon Métropole,France,19.9,2021
138,Communauté d'agglomération Nîmes Métropole,France,19.9,2021
139,Groningen metropolitan area,Netherlands,19.5,2020
140,Metropolitan City of Catania,Italy,19.3,2020
141,Turku metropolitan area,Finland,19.2,2020
142,Tilburg metropolitan area,Netherlands,19.1,2020
143,Cuenca de Pamplona,Spain,18.9,2020
144,Reggio Emilia metropolitan area,Italy,18.5,2020
145,Erfurt metropolitan area,Germany,17.8,2020
146,Offenburg metropolitan area,Germany,17.7,2020
147,Santa Cruz de Tenerife metropolitan area,Spain,17.1,2020
148,Kassel metropolitan area,Germany,17.0,2020
149,Uppsala metropolitan area,Sweden,16.8,2020
150,Łódź metropolitan area,Poland,16.8,2020
151,Parma metropolitan area,Italy,16.8,2020
152,Amiens metropolitan area,France,16.4,2021
153,Perugia metropolitan area,Italy,16.2,2020
154,Leiden metropolitan area,Netherlands,16.2,2020
155,Grand Besançon Métropole,France,16.1,2021
156,Métropole Rouen Normandie,France,16.0,2021
157,Magdeburg metropolitan area,Germany,16.0,2020
158,Granada metropolitan area,Spain,15.8,2020
159,Oldenburg metropolitan area,Germany,15.8,2020
160,Zwolle metropolitan area,Netherlands,15.7,2020
161,Le Mans Métropole,France,15.7,2021
162,Göttingen metropolitan area,Germany,15.6,2020
163,Lübeck metropolitan area,Germany,15.3,2020
164,Aschaffenburg metropolitan area,Germany,15.3,2020
165,Wrocław metropolitan area,Poland,15.2,2020
166,Koblenz metropolitan area,Germany,14.9,2020
167,Las Palmas metropolitan area,Spain,14.8,2020
168,Iserlohn metropolitan area,Germany,14.7,2020
169,Bocholt metropolitan area,Germany,14.4,2020
170,Thessaloniki metropolitan area,Greece,14.4,2020
171,Valletta metropolitan area,Malta,14.3,2021
172,Siegen metropolitan area,Germany,14.3,2020
173,Halle metropolitan area,Germany,14.2,2020
174,Bielefeld metropolitan area,Germany,14.2,2020
175,Innsbruck metropolitan area,Austria,13.9,2020
176,Rostock metropolitan area,Germany,13.7,2020
177,Valladolid metropolitan area,Spain,13.4,2020
178,Córdoba metropolitan area,Spain,13.1,2020
179,Charleroi metropolitan area,Belgium,13.0,2020
180,Grand Poitiers communauté urbaine,France,12.9,2021
181,Santander metropolitan area,Spain,12.8,2020
182,Wuppertal metropolitan area,Germany,12.6,2020
183,Rosenheim metropolitan area,Germany,12.2,2020
184,Perpignan Méditerranée Métropole,France,12.2,2021
185,Košice metropolitan Area,Slovakia,12.0,2021
186,Vitoria-Gasteiz metropolitan area,Spain,11.7,2020
187,Plzeň metropolitan area,Czechia,11.6,2021
188,Reutlingen metropolitan area,Germany,11.6,2020
189,Cluj-Napoca metropolitan area,Romania,11.5,2020
190,Pforzheim metropolitan area,Germany,11.3,2020
191,Schweinfurt metropolitan area,Germany,11.2,2020
192,Paderborn metropolitan area,Germany,11.1,2020
193,Metropolitan City of Cagliari,Italy,11.1,2020
194,Metropolitan City of Messina,Italy,10.9,2020
195,Bydgoszcz-Toruń metropolitan area,Poland,10.9,2020
196,Konstanz,"metropolitan area, Germany",10.7,2020
197,Namur metropolitan area,Belgium,10.6,2021
198,Limoges metropolitan area,France,10.6,2021
199,Leeuwarden metropolitan area,Netherlands,10.3,2020
200,Kaunas metropolitan area,Lithuania,10.2,2020
